tempo_min,vazao_oleo_bopd,pressao_psi,viscosidade_cp,volume_oleo_bbl,temperatura_C,GOR,WOR
24.4167,10907.15,2849.98,2.80,54999813.38,92.00,420.00,0.15
24.5,11050.23,2849.98,2.80,54999812.74,92.00,420.00,0.15
24.5833,10874.13,2849.98,2.80,54999812.10,92.00,420.00,0.15
24.6667,10962.18,2849.98,2.80,54999811.47,92.00,420.00,0.15
24.75,10874.13,2849.98,2.80,54999810.83,92.00,420.00,0.15
24.8333,10951.17,2849.98,2.80,54999810.19,92.00,420.00,0.15
24.9167,11149.28,2849.98,2.80,54999809.56,92.00,420.00,0.15
25,10885.14,2849.98,2.80,54999808.92,92.00,420.00,0.15
25.0833,11050.23,2849.98,2.80,54999808.28,92.00,420.00,0.15
25.1667,11039.22,2849.98,2.80,54999807.65,92.00,420.00,0.15
25.25,11094.25,2849.98,2.80,54999807.01,92.00,420.00,0.15
25.3333,11204.31,2849.98,2.80,54999806.37,92.00,420.00,0.15
25.4167,10962.18,2849.98,2.80,54999805.73,92.00,420.00,0.15
25.5,11072.24,2849.98,2.80,54999805.10,92.00,420.00,0.15
25.5833,11039.22,2849.98,2.80,54999804.46,92.00,420.00,0.15
25.6667,10984.19,2849.98,2.80,54999803.82,92.00,420.00,0.15
25.75,10797.08,2849.98,2.80,54999803.19,92.00,420.00,0.15
25.8333,11006.20,2849.98,2.80,54999802.55,92.00,420.00,0.15
25.9167,11050.23,2849.98,2.80,54999801.91,92.00,420.00,0.15
26,11028.21,2849.98,2.80,54999801.28,92.00,420.00,0.15
26.0833,11072.24,2849.98,2.80,54999800.64,92.00,420.00,0.15
26.1667,11160.29,2849.98,2.80,54999800.00,92.00,420.00,0.15
26.25,10995.19,2849.98,2.80,54999799.37,92.00,420.00,0.15
26.3333,11127.27,2849.98,2.80,54999798.73,92.00,420.00,0.15
26.4167,10973.18,2849.98,2.80,54999798.09,92.00,420.00,0.15
26.5,10896.14,2849.98,2.80,54999797.45,92.00,420.00,0.15
26.5833,11182.30,2849.98,2.80,54999796.82,92.00,420.00,0.15
26.6667,11050.22,2849.98,2.80,54999796.18,92.00,420.00,0.15
26.75,11226.32,2849.98,2.80,54999795.54,92.00,420.00,0.15
26.8333,10786.07,2849.98,2.80,54999794.91,92.00,420.00,0.15
26.9167,10786.07,2849.98,2.80,54999794.27,92.00,420.00,0.15
27,10896.14,2849.98,2.80,54999793.63,92.00,420.00,0.15
27.0833,11050.22,2849.98,2.80,54999793.00,92.00,420.00,0.15
27.1667,10874.12,2849.98,2.80,54999792.36,92.00,420.00,0.15
27.25,11072.23,2849.98,2.80,54999791.72,92.00,420.00,0.15
27.3333,11138.27,2849.98,2.80,54999791.09,92.00,420.00,0.15
27.4167,11061.23,2849.98,2.80,54999790.45,92.00,420.00,0.15
27.5,11006.20,2849.98,2.80,54999789.81,92.00,420.00,0.15
27.5833,10808.08,2849.98,2.80,54999789.17,92.00,420.00,0.15
27.6667,10896.13,2849.98,2.80,54999788.54,92.00,420.00,0.15
27.75,10841.10,2849.98,2.80,54999787.90,92.00,420.00,0.15
27.8333,11149.28,2849.98,2.80,54999787.26,92.00,420.00,0.15
27.9167,10863.11,2849.98,2.80,54999786.63,92.00,420.00,0.15
28,11017.20,2849.98,2.80,54999785.99,92.00,420.00,0.15
28.0833,10984.18,2849.98,2.80,54999785.35,92.00,420.00,0.15
28.1667,11116.26,2849.98,2.80,54999784.72,92.00,420.00,0.15
28.25,10786.07,2849.98,2.80,54999784.08,92.00,420.00,0.15
28.3333,11017.20,2849.98,2.80,54999783.44,92.00,420.00,0.15
28.4167,10896.13,2849.98,2.80,54999782.81,92.00,420.00,0.15
28.5,11061.22,2849.98,2.80,54999782.17,92.00,420.00,0.15
28.5833,10830.09,2849.98,2.80,54999781.53,92.00,420.00,0.15
28.6667,11204.30,2849.98,2.80,54999780.89,92.00,420.00,0.15
28.75,10984.18,2849.98,2.80,54999780.26,92.00,420.00,0.15
28.8333,11039.21,2849.98,2.80,54999779.62,92.00,420.00,0.15
